Reference_Number,Reference_Text,Citation_Count,Context_1,Context_2,Context_3,All_Match_Texts,Pattern_Types,Paragraph_Locations
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for",4,e ’ s Intelligent Text Analyzer) (Glasgow et al. (1 99 8) [ 4 8 ]) that extracts information from life insurance applications. Ahonen et al. (1 99 8) [ 1 ] suggested a mainstream framework for text mining that uses pragmatic and discourse level analyses of text . e) Summarization Overload of informa...,e ’ s Intelligent Text Analyzer) (Glasgow et al. (1 99 8) [ 4 8 ]) that extracts information from life insurance applications. Ahonen et al. (1 99 8) [ 1 ] suggested a mainstream framework for text mining that uses pragmatic and discourse level analyses of text . e) Summarization Overload of informa...,A (Metlife ’ s Intelligent Text Analyzer) (Glasgow et al. (1 99 8) [ 4 8 ]) that extracts information from life insurance applications. Ahonen et al. (1 99 8) [ 1 ] suggested a mainstream framework for text mining that uses pragmatic and discourse level analyses of text . e) Summarization Overload o...,[ 1 ] | [ 1 ] | (1 99 8) [ 1 ] | Ahonen et al. (1 99 8) [ 1 ],Format_1_Pattern_1 | Format_1_Pattern_2 | Format_1_Pattern_5 | Format_1_Pattern_6,"40, 40, 40, 40"
2,Alshawi H (1 99 2) The core language engine. MIT press,4,"ike emphasis and themes. By the end of the decade the powerful general purpose sentence processors like SRI ’ s Core Language Engine (Alshawi,1 99 2) [ 2 ] and Discourse Representation Theory (Kamp and Reyle,1 99 3) [ 6 2 ] offered a means of tackling more extended discourse within the grammatico-lo...","ike emphasis and themes. By the end of the decade the powerful general purpose sentence processors like SRI ’ s Core Language Engine (Alshawi,1 99 2) [ 2 ] and Discourse Representation Theory (Kamp and Reyle,1 99 3) [ 6 2 ] offered a means of tackling more extended discourse within the grammatico-lo...","with functions like emphasis and themes. By the end of the decade the powerful general purpose sentence processors like SRI ’ s Core Language Engine (Alshawi,1 99 2) [ 2 ] and Discourse Representation Theory (Kamp and Reyle,1 99 3) [ 6 2 ] offered a means of tackling more extended discourse within t...","[ 2 ] | [ 2 ] | (Alshawi,1 99 2) [ 2 ] | LUNAR in interfacing the large databases. In
early 1 98 0 s computational grammar theory became a very active area of research linked with
logics for meaning and knowledge ’ s ability to deal with the user ’ s beliefs and intentions and
with functions like emphasis and themes.
By the end of the decade the powerful general purpose sentence processors like SRI ’ s Core
Language Engine (Alshawi,1 99 2) [ 2 ]",Format_2_Pattern_1 | Format_2_Pattern_2 | Format_2_Pattern_5 | Format_2_Pattern_6,"26, 26, 26, 26"
3,"Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl-",4,"led literature survey and technological challenges relevant to management research and NLP, and a recent review work by Alshemali and Kalita (2 02 0) [ 3 ], and references cited there in. In the recent past, models dealing with Visual Commonsense Reasoning [ 3 1 ] and NLP have also been getting atte...","led literature survey and technological challenges relevant to management research and NLP, and a recent review work by Alshemali and Kalita (2 02 0) [ 3 ], and references cited there in. In the recent past, models dealing with Visual Commonsense Reasoning [ 3 1 ] and NLP have also been getting atte...","for detailed literature survey and technological challenges relevant to management research and NLP, and a recent review work by Alshemali and Kalita (2 02 0) [ 3 ], and references cited there in. In the recent past, models dealing with Visual Commonsense Reasoning [ 3 1 ] and NLP have also been get...","[ 3 ] | [ 3 ] | (2 02 0) [ 3 ] | NLP, and a recent review work by Alshemali and Kalita (2 02 0) [ 3 ]",Format_3_Pattern_1 | Format_3_Pattern_2 | Format_3_Pattern_5 | Format_3_Pattern_6,"70, 70, 70, 70"
4,Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD,4,") had started. In fact, Research in this period was not completely localized. Russian and English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]. In fact, MT/NLP research almost died in 1 96 6 according to the ALPAC report, which concluded that MT is going nowhere. But later, some MT prod...",") had started. In fact, Research in this period was not completely localized. Russian and English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]. In fact, MT/NLP research almost died in 1 96 6 according to the ALPAC report, which concluded that MT is going nowhere. But later, some MT prod...","e translation (MT) had started. In fact, Research in this period was not completely localized. Russian and English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]. In fact, MT/NLP research almost died in 1 96 6 according to the ALPAC report, which concluded that MT is going nowhere. But la...","[ 4 ] | [ 4 ] | (Andreev,1 96 7) [ 4 ] | In the late 1 94 0 s the term NLP wasn ’ t in existence, but the work regarding machine translation
(MT) had started. In fact, Research in this period was not completely localized. Russian and
English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]",Format_4_Pattern_1 | Format_4_Pattern_2 | Format_4_Pattern_5 | Format_4_Pattern_6,"26, 26, 26, 26"
5,"Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0)",8,"a document. Most text categorization approaches to anti-spam Email filtering have used multi variate Bernoulli model (Androutsopoulos et al., 2 00 0) [ 5 ] [ 1 5 ]. d) Information Extraction Information extraction is concerned with identifying phrases of interest of textual data. For many applicatio...","or Anti-Spam Filtering like Rule Learning (Cohen 1 99 6) [ 2 7 ], Naïve Bayes (Sahami et al., 1 99 8; Androutsopoulos et al., 2 00 0; Rennie.,2 00 0) [ 5 , 1 09 , 1 15 ],Memory based Learning (Sakkiset al.,2 00 0 b) [ 1 17 ], Support vector machines (Druker et al., 1 99 9) [ 3 6 ], Decision Trees (C...","a document. Most text categorization approaches to anti-spam Email filtering have used multi variate Bernoulli model (Androutsopoulos et al., 2 00 0) [ 5 ] [ 1 5 ]. d) Information Extraction Information extraction is concerned with identifying phrases of interest of textual data. For many applicatio...","[ 5 ] | [ 5 ,
1 09 , 1 15 ] | [ 5 ] | (Androutsopoulos et al., 2 00 0) [ 5 ] | Both modules assume that a fixed vocabulary is present. But in first model a document is
generated by first choosing a subset of vocabulary and then using the selected words any
number of times, at least once irrespective of order. This is called Multi-variate Bernoulli
model. It takes the information of which words are used in a document irrespective of number
of words and order. In second model, a document is generated by choosing a set of word
occurrences and arranging them in any order. This model is called multi-nomial model, in
addition to the Multi-variate Bernoulli model, it also captures information on how many times
a word is used in a document. Most text categorization approaches to anti-spam Email filtering
have used multi variate Bernoulli model (Androutsopoulos et al., 2 00 0) [ 5 ] | [5] | [5] | In Degoulet P, Stephan JC, Venot A, Yvon PJ, rédacteurs. Informatique
et Santé, Informatique et Gestion des Unités de Soins, Comptes Rendus du Colloque AIM-IF, Paris (pp.
2 46 – 5 6). [5]",Format_5_Pattern_1 | Format_5_Pattern_2 | Format_5_Pattern_2 | Format_5_Pattern_5 | Format_5_Pattern_6 | Format_5_Pattern_1 | Format_5_Pattern_2 | Format_5_Pattern_6,"38, 38, 38, 38, 38, 93, 93, 93"
6,"Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public",4,"e work of Sharifirad and Matwin (2 01 9) [ 1 23 ] for classification of different online harassment categories and challenges, Baclic et.al. (2 02 0) [ 6 ] and Wong et al. (2 01 8) [ 1 51 ] for challenges and opportunities in public health, Kang et.al. (2 02 0) [ 6 3 ] for detailed literature survey...","e work of Sharifirad and Matwin (2 01 9) [ 1 23 ] for classification of different online harassment categories and challenges, Baclic et.al. (2 02 0) [ 6 ] and Wong et al. (2 01 8) [ 1 51 ] for challenges and opportunities in public health, Kang et.al. (2 02 0) [ 6 3 ] for detailed literature survey...","fer to the work of Sharifirad and Matwin (2 01 9) [ 1 23 ] for classification of different online harassment categories and challenges, Baclic et.al. (2 02 0) [ 6 ] and Wong et al. (2 01 8) [ 1 51 ] for challenges and opportunities in public health, Kang et.al. (2 02 0) [ 6 3 ] for detailed literatu...",[ 6 ] | [ 6 ] | (2 02 0) [ 6 ] | Baclic et.al. (2 02 0) [ 6 ],Format_6_Pattern_1 | Format_6_Pattern_2 | Format_6_Pattern_5 | Format_6_Pattern_6,"70, 70, 70, 70"
7,"Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and",3,"variant, called the gated recurrent unit (GRU), which has shown better results than standard LSTMs in many tasks [ 2 2 , 2 6 ]. Attention mechanisms [ 7 ] which suggest a network to learn what to pay attention to in accordance with the current hidden state and annotation together with the use of tra...","variant, called the gated recurrent unit (GRU), which has shown better results than standard LSTMs in many tasks [ 2 2 , 2 6 ]. Attention mechanisms [ 7 ] which suggest a network to learn what to pay attention to in accordance with the current hidden state and annotation together with the use of tra...","to a slightly simpler variant, called the gated recurrent unit (GRU), which has shown better results than standard LSTMs in many tasks [ 2 2 , 2 6 ]. Attention mechanisms [ 7 ] which suggest a network to learn what to pay attention to in accordance with the current hidden state and annotation togeth...",[ 7 ] | [ 7 ] | Attention mechanisms [ 7 ],Format_7_Pattern_1 | Format_7_Pattern_2 | Format_7_Pattern_6,"31, 31, 31"
8,"Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first",4,"s are word error rate, position-independent word error rate (Tillmann et al., 1 99 7) [ 1 38 ], generation string accuracy (Bangalore et al., 2 00 0) [ 8 ], multi-reference word error rate (Nießen et al., 2 00 0) [ 9 5 ], BLEU score (Papineni et al., 2 00 2) [ 1 01 ], NIST score (Doddington, 2 00 2)...","s are word error rate, position-independent word error rate (Tillmann et al., 1 99 7) [ 1 38 ], generation string accuracy (Bangalore et al., 2 00 0) [ 8 ], multi-reference word error rate (Nießen et al., 2 00 0) [ 9 5 ], BLEU score (Papineni et al., 2 00 2) [ 1 01 ], NIST score (Doddington, 2 00 2)...","ns. Examples of such methods are word error rate, position-independent word error rate (Tillmann et al., 1 99 7) [ 1 38 ], generation string accuracy (Bangalore et al., 2 00 0) [ 8 ], multi-reference word error rate (Nießen et al., 2 00 0) [ 9 5 ], BLEU score (Papineni et al., 2 00 2) [ 1 01 ], NIST...","[ 8 ] | [ 8 ] | (Bangalore et al., 2 00 0) [ 8 ] | Bangalore et al., 2 00 0) [ 8 ]",Format_8_Pattern_1 | Format_8_Pattern_2 | Format_8_Pattern_5 | Format_8_Pattern_6,"36, 36, 36, 36"
9,"Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In",1,"cords were archived. At later stage the LSP-MLP has been adapted for French [ 1 0 , 7 2 , 9 4 , 1 13 ], and finally, a proper NLP system called RECIT [ 9 , 1 1 , 1 7 , 1 06 ] has been developed using a method called Proximity Processing [ 8 8 ]. It ’ s task was to implement a robust and multilingual...",,,"[ 9 , 1 1 , 1 7 , 1 06 ]",Format_9_Pattern_2,44
10,"Baud RH, Rassinoux AM, Scherrer JR (1 99 2) Natural language processing and semantical representation",1,"vironment with NLP features [ 8 1 , 1 19 ]. In the first phase, patient records were archived. At later stage the LSP-MLP has been adapted for French [ 1 0 , 7 2 , 9 4 , 1 13 ], and finally, a proper NLP system called RECIT [ 9 , 1 1 , 1 7 , 1 06 ] has been developed using a method called Proximity ...",,,"[ 1 0 , 7 2 , 9 4 , 1 13 ]",Format_1 0_Pattern_2,44
