Reference_Number,Reference_Text,Citation_Count,Context
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for descriptive phrase extraction in digital document collections. In research and technology advances in digital libraries, 1 99 8. ADL 9 8. Proceedings. IEEE international forum on (pp. 2-1 1). IEEE ## 2. Alshawi H (1 99 2) The core language engine. MIT press ## 3. Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl- Based Syst 1 91:1 05 21 0 ## 4. Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD (ed) Machine translation. North Holland Publishing Company, Amsterdam, pp 3 – 2 7 ## 5. Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0) Learning to filter spam e-mail: A comparison of a naive bayesian and a memory-based approach. ar Xiv preprint cs/0 00 90 09 ## 6. Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public health: challenges and opportunities for public health made possible by advances in natural language processing. Can Commun Dis Rep 4 6(6):1 61 ## 7. Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and translate. In ICLR 2 01 5 ## 8. Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first international conference on natural language generation-volume 1 4 (pp. 1-8). Assoc Comput Linguist ## 9. Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In AIME 9 1 (pp. 1 73 – 1 82). Springer, Berlin Heidelberg",9,e ’ s Intelligent Text Analyzer) (Glasgow et al. (1 99 8) [ 4 8 ]) that extracts information from life insurance applications. Ahonen et al. (1 99 8) [ 1 ] suggested a mainstream framework for text mining that uses pragmatic and discourse level analyses of text . e) Summarization Overload of information
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for descriptive phrase extraction in digital document collections. In research and technology advances in digital libraries, 1 99 8. ADL 9 8. Proceedings. IEEE international forum on (pp. 2-1 1). IEEE ## 2. Alshawi H (1 99 2) The core language engine. MIT press ## 3. Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl- Based Syst 1 91:1 05 21 0 ## 4. Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD (ed) Machine translation. North Holland Publishing Company, Amsterdam, pp 3 – 2 7 ## 5. Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0) Learning to filter spam e-mail: A comparison of a naive bayesian and a memory-based approach. ar Xiv preprint cs/0 00 90 09 ## 6. Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public health: challenges and opportunities for public health made possible by advances in natural language processing. Can Commun Dis Rep 4 6(6):1 61 ## 7. Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and translate. In ICLR 2 01 5 ## 8. Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first international conference on natural language generation-volume 1 4 (pp. 1-8). Assoc Comput Linguist ## 9. Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In AIME 9 1 (pp. 1 73 – 1 82). Springer, Berlin Heidelberg",9,"## 1 4. Berger AL, Della Pietra SA, Della Pietra VJ (1 99 6) A maximum entropy approach to natural language processing. Computational Linguistics 2 2(1):3 9 – 7 1 ## 1 5. Blanzieri E, Bryl A (2 00 8) A survey of learning-based techniques of email spam filtering. Artif Intell Rev 2 9(1):6 3 – 9 2 3 73"
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for descriptive phrase extraction in digital document collections. In research and technology advances in digital libraries, 1 99 8. ADL 9 8. Proceedings. IEEE international forum on (pp. 2-1 1). IEEE ## 2. Alshawi H (1 99 2) The core language engine. MIT press ## 3. Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl- Based Syst 1 91:1 05 21 0 ## 4. Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD (ed) Machine translation. North Holland Publishing Company, Amsterdam, pp 3 – 2 7 ## 5. Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0) Learning to filter spam e-mail: A comparison of a naive bayesian and a memory-based approach. ar Xiv preprint cs/0 00 90 09 ## 6. Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public health: challenges and opportunities for public health made possible by advances in natural language processing. Can Commun Dis Rep 4 6(6):1 61 ## 7. Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and translate. In ICLR 2 01 5 ## 8. Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first international conference on natural language generation-volume 1 4 (pp. 1-8). Assoc Comput Linguist ## 9. Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In AIME 9 1 (pp. 1 73 – 1 82). Springer, Berlin Heidelberg",9,"Linguistics 2 2(1):3 9 – 7 1 ## 1 5. Blanzieri E, Bryl A (2 00 8) A survey of learning-based techniques of email spam filtering. Artif Intell Rev 2 9(1):6 3 – 9 2 3 73 8 Multimedia Tools and Applications (2 02 3) 8 2:3 71 3–3 74 4 <!-- Page 27 --> ## 1 6. Bondale N, Maloor P, Vaidyanathan A, Sengup"
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for descriptive phrase extraction in digital document collections. In research and technology advances in digital libraries, 1 99 8. ADL 9 8. Proceedings. IEEE international forum on (pp. 2-1 1). IEEE ## 2. Alshawi H (1 99 2) The core language engine. MIT press ## 3. Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl- Based Syst 1 91:1 05 21 0 ## 4. Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD (ed) Machine translation. North Holland Publishing Company, Amsterdam, pp 3 – 2 7 ## 5. Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0) Learning to filter spam e-mail: A comparison of a naive bayesian and a memory-based approach. ar Xiv preprint cs/0 00 90 09 ## 6. Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public health: challenges and opportunities for public health made possible by advances in natural language processing. Can Commun Dis Rep 4 6(6):1 61 ## 7. Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and translate. In ICLR 2 01 5 ## 8. Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first international conference on natural language generation-volume 1 4 (pp. 1-8). Assoc Comput Linguist ## 9. Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In AIME 9 1 (pp. 1 73 – 1 82). Springer, Berlin Heidelberg",9,"9:1 61 3 – 1 61 9 ## 4 3. Fattah MA, Ren F (2 00 9) GA, MR, FFNN, PNN and GMM based models for automatic text summari- zation. Comput Speech Lang 2 3(1):1 26 – 1 44 3 73 9 Multimedia Tools and Applications (2 02 3) 8 2:3 71 3–3 74 4 <!-- Page 28 --> ## 4 4. Feldman S (1 99 9) NLP meets the jabberwo"
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for descriptive phrase extraction in digital document collections. In research and technology advances in digital libraries, 1 99 8. ADL 9 8. Proceedings. IEEE international forum on (pp. 2-1 1). IEEE ## 2. Alshawi H (1 99 2) The core language engine. MIT press ## 3. Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl- Based Syst 1 91:1 05 21 0 ## 4. Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD (ed) Machine translation. North Holland Publishing Company, Amsterdam, pp 3 – 2 7 ## 5. Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0) Learning to filter spam e-mail: A comparison of a naive bayesian and a memory-based approach. ar Xiv preprint cs/0 00 90 09 ## 6. Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public health: challenges and opportunities for public health made possible by advances in natural language processing. Can Commun Dis Rep 4 6(6):1 61 ## 7. Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and translate. In ICLR 2 01 5 ## 8. Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first international conference on natural language generation-volume 1 4 (pp. 1-8). Assoc Comput Linguist ## 9. Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In AIME 9 1 (pp. 1 73 – 1 82). Springer, Berlin Heidelberg",9,"D, Ghemri L, Fisher D (1 99 8) MITA: an information-extraction approach to the analysis of free-form text in life insurance applications. AI Mag 1 9(1):5 9 ## 4 9. Goldberg Y (2 01 7) Neural network methods for natural language processing. Synthesis lectures on human language technologies 1 0(1):1 –"
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for descriptive phrase extraction in digital document collections. In research and technology advances in digital libraries, 1 99 8. ADL 9 8. Proceedings. IEEE international forum on (pp. 2-1 1). IEEE ## 2. Alshawi H (1 99 2) The core language engine. MIT press ## 3. Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl- Based Syst 1 91:1 05 21 0 ## 4. Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD (ed) Machine translation. North Holland Publishing Company, Amsterdam, pp 3 – 2 7 ## 5. Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0) Learning to filter spam e-mail: A comparison of a naive bayesian and a memory-based approach. ar Xiv preprint cs/0 00 90 09 ## 6. Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public health: challenges and opportunities for public health made possible by advances in natural language processing. Can Commun Dis Rep 4 6(6):1 61 ## 7. Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and translate. In ICLR 2 01 5 ## 8. Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first international conference on natural language generation-volume 1 4 (pp. 1-8). Assoc Comput Linguist ## 9. Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In AIME 9 1 (pp. 1 73 – 1 82). Springer, Berlin Heidelberg",9,"1 9(1):5 9 ## 4 9. Goldberg Y (2 01 7) Neural network methods for natural language processing. Synthesis lectures on human language technologies 1 0(1):1 – 3 09 ## 5 0. Gong Y, Liu X (2 00 1) Generic text summarization using relevance measure and latent semantic analysis. In proceedings of the 2 4 t"
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for descriptive phrase extraction in digital document collections. In research and technology advances in digital libraries, 1 99 8. ADL 9 8. Proceedings. IEEE international forum on (pp. 2-1 1). IEEE ## 2. Alshawi H (1 99 2) The core language engine. MIT press ## 3. Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl- Based Syst 1 91:1 05 21 0 ## 4. Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD (ed) Machine translation. North Holland Publishing Company, Amsterdam, pp 3 – 2 7 ## 5. Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0) Learning to filter spam e-mail: A comparison of a naive bayesian and a memory-based approach. ar Xiv preprint cs/0 00 90 09 ## 6. Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public health: challenges and opportunities for public health made possible by advances in natural language processing. Can Commun Dis Rep 4 6(6):1 61 ## 7. Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and translate. In ICLR 2 01 5 ## 8. Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first international conference on natural language generation-volume 1 4 (pp. 1-8). Assoc Comput Linguist ## 9. Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In AIME 9 1 (pp. 1 73 – 1 82). Springer, Berlin Heidelberg",9,"7 – 2 37 ## 1 00. Palmer M, Gildea D, Kingsbury P (2 00 5) The proposition bank: an annotated corpus of semantic roles. Computational linguistics 3 1(1):7 1 – 1 06 3 74 1 Multimedia Tools and Applications (2 02 3) 8 2:3 71 3–3 74 4 <!-- Page 30 --> ## 1 01. Papineni K, Roukos S, Ward T, Zhu WJ (2 0"
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for descriptive phrase extraction in digital document collections. In research and technology advances in digital libraries, 1 99 8. ADL 9 8. Proceedings. IEEE international forum on (pp. 2-1 1). IEEE ## 2. Alshawi H (1 99 2) The core language engine. MIT press ## 3. Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl- Based Syst 1 91:1 05 21 0 ## 4. Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD (ed) Machine translation. North Holland Publishing Company, Amsterdam, pp 3 – 2 7 ## 5. Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0) Learning to filter spam e-mail: A comparison of a naive bayesian and a memory-based approach. ar Xiv preprint cs/0 00 90 09 ## 6. Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public health: challenges and opportunities for public health made possible by advances in natural language processing. Can Commun Dis Rep 4 6(6):1 61 ## 7. Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and translate. In ICLR 2 01 5 ## 8. Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first international conference on natural language generation-volume 1 4 (pp. 1-8). Assoc Comput Linguist ## 9. Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In AIME 9 1 (pp. 1 73 – 1 82). Springer, Berlin Heidelberg",9,"mer EL, Eddy SR, Birney E, Bateman A, Durbin R (1 99 8) Pfam: multiple sequence alignments and HMM-profiles of protein domains. Nucleic Acids Res 2 6(1):3 20 – 3 22 ## 1 29. Srihari S (2 01 0) Machine Learning: Generative and Discriminative Models. http://www.cedar.buffalo.edu/ wsrihari/CSE 57 4/Disc"
1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for descriptive phrase extraction in digital document collections. In research and technology advances in digital libraries, 1 99 8. ADL 9 8. Proceedings. IEEE international forum on (pp. 2-1 1). IEEE ## 2. Alshawi H (1 99 2) The core language engine. MIT press ## 3. Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl- Based Syst 1 91:1 05 21 0 ## 4. Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD (ed) Machine translation. North Holland Publishing Company, Amsterdam, pp 3 – 2 7 ## 5. Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0) Learning to filter spam e-mail: A comparison of a naive bayesian and a memory-based approach. ar Xiv preprint cs/0 00 90 09 ## 6. Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public health: challenges and opportunities for public health made possible by advances in natural language processing. Can Commun Dis Rep 4 6(6):1 61 ## 7. Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and translate. In ICLR 2 01 5 ## 8. Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first international conference on natural language generation-volume 1 4 (pp. 1-8). Assoc Comput Linguist ## 9. Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In AIME 9 1 (pp. 1 73 – 1 82). Springer, Berlin Heidelberg",9,"cht) ## 1 44. Wan X (2 00 8) Using only cross-document relationships for both generic and topic-focused multi-docu- ment summarizations. Inf Retr 1 1(1):2 5 – 4 9 ## 1 45. Wang W, Gang J, 2 01 8 Application of convolutional neural network in natural language processing. In 2 01 8 international confer"
10,"Baud RH, Rassinoux AM, Scherrer JR (1 99 2) Natural language processing and semantical representation of medical texts. Methods Inf Med 3 1(2):1 17 – 1 25",2,"ava RK, Koutník J, Steunebrink BR, Schmidhuber J (2 01 6) LSTM: A search space odyssey. IEEE transactions on neural networks and learning systems 2 8(1 0):2 22 2 – 2 23 2 ## 5 3. Grishman R, Sager N, Raze C, Bookchin B (1 97 3) The linguistic string parser. In proceedings of the June 4-8, 1 97 3, natio"
