Reference_Number,Extraction_Method,Reference_Text
"1","single_format","Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for"
"2","single_format","Alshawi H (1 99 2) The core language engine. MIT press"
"3","single_format","Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl-"
"4","single_format","Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD"
"5","single_format","Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0)"
"6","single_format","Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public"
"7","single_format","Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and"
"8","single_format","Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first"
"9","single_format","Baud RH, Rassinoux AM, Scherrer JR (1 99 1) Knowledge representation of discharge summaries. In"
"10","spaced_format","Baud RH, Rassinoux AM, Scherrer JR (1 99 2) Natural language processing and semantical representation"
"11","spaced_format","Baud RH, Alpay L, Lovis C (1 99 4) Let ’ s meet the users with natural language understanding. Knowledge"
"12","spaced_format","Bengio Y, Ducharme R, Vincent P (2 00 1) A neural probabilistic language model. Proceedings of NIPS"
"13","spaced_format","Benson E, Haghighi A, Barzilay R (2 01 1) Event discovery in social media feeds. In proceedings of the"
"14","spaced_format","Berger AL, Della Pietra SA, Della Pietra VJ (1 99 6) A maximum entropy approach to natural language"
"15","spaced_format","Blanzieri E, Bryl A (2 00 8) A survey of learning-based techniques of email spam filtering. Artif Intell Rev"
"16","spaced_format","Bondale N, Maloor P, Vaidyanathan A, Sengupta S, Rao PV (1 99 9) Extraction of information from open-"
"17","spaced_format","Borst F, Sager N, Nhàn NT, Su Y, Lyman M, Tick LJ, ..., Scherrer JR (1 98 9) Analyse automatique de"
"18","spaced_format","Briscoe EJ, Grover C, Boguraev B, Carroll J (1 98 7) A formalism and environment for the development of"
"19","spaced_format","Carreras X, Marquez L (2 00 1) Boosting trees for anti-spam email filtering. ar Xiv preprint cs/0 10 90 15"
"20","spaced_format","Chalkidis I, Fergadiotis M, Malakasiotis P, Aletras N, Androutsopoulos I (2 02 0) LEGAL-BERT: the"
"21","spaced_format","Chi EC, Lyman MS, Sager N, Friedman C, Macleod C (1 98 5) A database of computer-structured"
"22","spaced_format","Cho K, Van Merriënboer B, Bahdanau D, Bengio Y, (2 01 4) On the properties of neural machine"
"23","spaced_format","Chomsky N (1 96 5) Aspects of the theory of syntax. MIT Press, Cambridge, Massachusetts"
"24","spaced_format","Choudhary N (2 02 1) LDC-IL: the Indian repository of resources for language technology. Lang Resources"
"25","spaced_format","Chouikhi H, Chniter H, Jarray F (2 02 1) Arabic sentiment analysis using BERT model. In international"
"26","spaced_format","Chung J, Gulcehre C, Cho K, Bengio Y, (2 01 4) Empirical evaluation of gated recurrent neural networks"
"27","spaced_format","Cohen WW (1 99 6) Learning rules that classify e-mail. In AAAI spring symposium on machine learning in"
"28","spaced_format","Cohen PR, Morgan J, Ramsay AM (2 00 2) Intention in communication, Am J Psychol 1 04(4)"
"29","spaced_format","Collobert R, Weston J (2 00 8) A unified architecture for natural language processing. In proceedings of the"
"30","spaced_format","Dai Z, Yang Z, Yang Y, Carbonell J, Le QV, Salakhutdinov R, (2 01 9) Transformer-xl: attentive language"
"31","spaced_format","Davis E, Marcus G (2 01 5) Commonsense reasoning and commonsense knowledge in artificial intelli-"
"32","spaced_format","Desai NP, Dabhi VK (2 02 2) Resources and components for Gujarati NLP systems: a survey. Artif Intell"
"33","spaced_format","Devlin J, Chang MW, Lee K, Toutanova K, (2 01 8) Bert: pre-training of deep bidirectional transformers for"
"34","spaced_format","Diab M, Hacioglu K, Jurafsky D (2 00 4) Automatic tagging of Arabic text: From raw text to base phrase"
"35","spaced_format","Doddington G (2 00 2) Automatic evaluation of machine translation quality using n-gram co-occurrence"
"36","spaced_format","Drucker H, Wu D, Vapnik VN (1 99 9) Support vector machines for spam categorization. IEEE Trans"
"37","spaced_format","Dunlavy DM, O ’ Leary DP, Conroy JM, Schlesinger JD (2 00 7) QCS: A system for querying, clustering"
"38","spaced_format","Elkan C (2 00 8) Log-Linear Models and Conditional Random Fields. http://cseweb.ucsd.edu/welkan/2 50 B/"
"39","spaced_format","Emele MC, Dorna M (1 99 8) Ambiguity preserving machine translation using packed representations. In"
"40","spaced_format","Europarl: A Parallel Corpus for Statistical Machine Translation (2 00 5) Philipp Koehn , MT Summit 2 00 5"
"41","spaced_format","Fan Y, Tian F, Xia Y, Qin T, Li XY, Liu TY (2 02 0) Searching better architectures for neural machine"
"42","spaced_format","Fang H, Lu W, Wu F, Zhang Y, Shang X, Shao J, Zhuang Y (2 01 5) Topic aspect-oriented summarization"
"43","spaced_format","Fattah MA, Ren F (2 00 9) GA, MR, FFNN, PNN and GMM based models for automatic text summari-"
"44","spaced_format","Feldman S (1 99 9) NLP meets the jabberwocky: natural language processing in information retrieval."
"45","spaced_format","Friedman C, Cimino JJ, Johnson SB (1 99 3) A conceptual model for clinical radiology reports. In"
