Repository Name,GitHub URL,Stars,NLP Technology,Project Description,Primary Language,Key Features,Paper Excerpt
huggingface/transformers,https://github.com/huggingface/transformers,135000,Multiple (NER/QA/Text Classification/Machine Translation/Text Generation/Language Modeling),State-of-the-art machine learning models for text processing with unified API,Python,"Pre-trained models, multi-framework support, 70+ languages, production-ready","The use of BERT (Bidirectional Encoder Representations from Transformers) model and successive models have also played an important role for NLP. BERT provides contextual embedding for each word present in the text unlike context-free models."
explosion/spaCy,https://github.com/explosion/spaCy,29900,Multiple (NER/POS Tagging/Chunking/Information Extraction/Coreference Resolution),Industrial-strength Natural Language Processing library,Python,"Named entity recognition, part-of-speech tagging, dependency parsing, text classification","Named entity recognition (NER) is a technique to recognize and separate the named entities and group them under predefined classes. Part of speech tagging describes a sentence, determines the part of speech for each word."
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,30300,Machine Translation,Sequence modeling toolkit for translation and text generation,Python,"Transformer models, attention mechanisms, state-of-the-art translation","Machine Translation is generally translating phrases from one language to another with the help of a statistical engine like Google Translate. The challenge with machine translation technologies is not directly translating words but keeping the meaning of sentences intact."
openai/whisper,https://github.com/openai/whisper,69200,Speech Recognition,Automatic speech recognition system with multilingual support,Python,"Multilingual ASR, robust performance, easy integration","Hidden Markov Models are extensively used for speech recognition, where the output sequence is matched to the sequence of individual phonemes."
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,59700,Multiple (Text Classification/Spam Filtering/Document Similarity),Machine learning library with comprehensive text processing tools,Python,"Classification algorithms, TF-IDF, feature extraction, model evaluation","Various machine learning techniques have been applied to text categorization or Anti-Spam Filtering like Rule Learning, Naïve Bayes, Memory based Learning, Support vector machines."
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,185000,Text Classification,End-to-end machine learning platform,Python/C++,"Deep learning, neural networks, production deployment","Earlier machine learning techniques such as Naïve Bayes, HMM etc. were majorly used for NLP but by the end of 2010, neural networks transformed and enhanced NLP tasks by learning multilevel features."
nltk/nltk,https://github.com/nltk/nltk,13400,Multiple (POS Tagging/Chunking),Natural Language Toolkit for educational and research purposes,Python,"Tokenization, stemming, POS tagging, parsing, educational resources","At lexical level, analysis of structure of words is performed with respect to their lexical meaning and PoS. Stop words such as 'in', 'the', 'and' etc. are removed as they don't contribute to any meaningful interpretation."
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,61500,Optical Character Recognition,OCR engine with support for 100+ languages,C++,"Multi-language support, high accuracy, command-line interface","Optical Character Recognition (OCR) is used for automatic text recognition by translating printed and handwritten text into machine-readable format."
cjhutto/vaderSentiment,https://github.com/cjhutto/vaderSentiment,4200,Sentiment Analysis,Lexicon and rule-based sentiment analysis tool,Python,"Social media focused, handles emoticons, no training required","Sentiment analysis works by extracting sentiments about a given topic, and it consists of a topic specific feature term extraction, sentiment extraction, and association by relationship analysis."
sloria/TextBlob,https://github.com/sloria/TextBlob,9100,Sentiment Analysis,Simple Python library for processing textual data,Python,"Simple API, built on NLTK, sentiment analysis, noun phrase extraction","It provides a simple API for diving into common natural language processing (NLP) tasks such as part-of-speech tagging, noun phrase extraction, sentiment analysis, classification, translation, and more."
